Ethical Term,Frequency,Category,Fuzzy Matched Term,Recalibrated Category,Final Category
policy and regulation values,1,Unclassified,,,Unclassified
interdisciplinary integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
safety and risk reduction,1,Core,,,Core
human autonomy and control,1,Core,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
ethical decision-making in dilemma situations,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
responsibility and liability,1,Core,Responsibility,Core Chosen,Core Chosen
promoting human-centric ai,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
boosting research and industrial capacity,1,Unclassified,,,Unclassified
economic transformation,1,Unclassified,,,Unclassified
innovation-driven development,1,Unclassified,,,Unclassified
righteous duty,1,Unclassified,,,Unclassified
transparency and disclosure,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
accuracy and fact-checking,1,Core,,,Core
bias awareness,1,Unclassified,,,Unclassified
dharma,1,Unclassified,,,Unclassified
environmental impact,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
clear communications about the origin of content for generative ai,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
decision-making process,1,Unclassified,,,Unclassified
human-centered development,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
ai ecosystems,1,Unclassified,,,Unclassified
transfer and application,1,Unclassified,,,Unclassified
regulatory framework,1,Unclassified,,,Unclassified
testing,1,Unclassified,,,Unclassified
certification,1,Unclassified,,,Unclassified
sociotechnical systems,1,Unclassified,,,Unclassified
integration,1,Unclassified,,,Unclassified
technology leadership,1,Unclassified,,,Unclassified
environmental and climate protection,1,Unclassified,,,Unclassified
european ai ecosystem values,1,Unclassified,,,Unclassified
scientific integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
bold innovation,1,Unclassified,,,Unclassified
transformation,1,Unclassified,,,Unclassified
ethical global governance,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
fostering research collaboration,1,Social,,,Social
free will,1,Unclassified,,,Unclassified
under user control,1,Unclassified,,,Unclassified
respect of fundamental rights,1,Social,Respect,Virtues,Virtues
quality,1,Unclassified,,,Unclassified
respect for fundamental rights,1,Social,Respect,Virtues,Virtues
quality and security,1,Core,,,Core
impartiality and fairness,1,Core,Fairness,Personal Values,Personal Values
under user control values,1,Unclassified,,,Unclassified
labor rights,1,Unclassified,,,Unclassified
information integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
purushartha,1,Unclassified,,,Unclassified
ethical framework,1,Unclassified,,,Unclassified
world as one family,1,Unclassified,,,Unclassified
justifiability,1,Unclassified,,,Unclassified
internal accountability,1,Core,Accountability,Virtues,Virtues
transparency and openness,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
inclusivity and diversity,1,Social,,,Social
sustainability values,1,Unclassified,Sustainability,Regulatory,Regulatory
vasudhaiva kutumbakam,1,Unclassified,,,Unclassified
human oversight values,1,Unclassified,,,Unclassified
open data policy,1,Unclassified,,,Unclassified
theological reflection on ai ethics,1,Unclassified,,,Unclassified
